product_title,brand,target_filename_jpg,image_url
3 Ceramide Panthenol Moisture Barrier Cream,Anua,anua-3-ceramide-panthenol-moisture-barrier-cream.jpg,https://koreanskincare.nl/cdn/shop/files/6_a69b567a-ae8d-47e7-a1c8-7df7fc26f802.jpg?v=1731569191
7 Rice Ceramide Hydrating Barrier Serum,Anua,anua-7-rice-ceramide-hydrating-barrier-serum.jpg,https://dreamskinhaven.co.ke/wp-content/uploads/2024/09/XXL_p0210569008.webp
Azelaic Acid 10 Hyaluron Redness Soothing Serum,Anua,anua-azelaic-acid-10-hyaluron-redness-soothing-serum.jpg,https://glowsecret.co.ke/products/anua-azelaic-acid-10-hyaluron-redness-soothing-serum
Heartleaf Silky Moisture Sun Cream,Anua,anua-heartleaf-silky-moisture-sun-cream.jpg,https://assets.beautyhub.co.ke/uploads/20260219130225/anua-heartleaf-silky-moisture-sun-cream-spf-50-50ml.jpg
Niacinamide 10% + TXA 4% Serum,Anua,anua-niacinamide-10-plus-txa-4-serum.jpg,https://kbeautykenya.com/product/anua-niacinamide-10-txa-4-dark-spot-correcting-serum-30ml/?srsltid=AfmBOopX3eKqXMlAapOivP_Bl1lwwkmeZaPC18ufqR_6BUuo75VfhOrO
Rice 70 Glow Milky Toner,Anua,anua-rice-70-glow-milky-toner.jpg,https://glowsecret.co.ke/cdn/shop/files/anua-rice-70-glow-milky-toner-250ml_750.webp?v=1737643367&width=2048
Rice Enzyme Brightening Cleansing Powder,Anua,anua-rice-enzyme-brightening-cleansing-powder.jpg,https://kbeautykenya.com/wp-content/uploads/2025/05/Rice-Enzyme-Brightening-Cleansing-Powder-.webp
Vegan Collagen Eye Serum,AXIS-Y,axis-y-vegan-collagen-eye-serum.jpg,https://i.ebayimg.com/images/g/5EkAAeSwR2xpbSNa/s-l1600.webp
Aqua-Fresh Rice + B5 SPF50+ PA++++,Beauty of Joseon,beauty-of-joseon-aqua-fresh-rice-plus-b5-spf50-plus-pa-plus-plus-plus-plus.jpg,https://www.maquibeauty.com/images/productos/beauty-of-joseon-protector-solar-facial-relief-sun-aqua-fresh-rice-b5-spf50-pa-6-85904.jpeg
Pigmentbio Sensitive Areas,Bioderma,bioderma-pigmentbio-sensitive-areas.jpg,https://www.goodlife.co.ke/wp-content/uploads/2024/04/1135718.jpg
Pore + Dark Spot Brightening Serum,Celimax,celimax-pore-plus-dark-spot-brightening-serum.jpg,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/60/9005623/1.jpg?4521
The Vita A Retinal Shot Tightening Booster,Celimax,celimax-the-vita-a-retinal-shot-tightening-booster.jpg,https://luminr.co.ke/cdn/shop/files/celimax-TheVita-ARetinalShotTighteningBooster15ml.webp?v=1755157715&width=2048
Temptation Shower Gel,Cosmo,cosmo-temptation-shower-gel.jpg,https://pharmily.co.ke/storage//files/2025/04/30/284-7yC_10_38_26_screenshot-2025-04-30-at-104118.png
Hyaluronic Acid Hydra Power Essence,COSRX,cosrx-hyaluronic-acid-hydra-power-essence.jpg,https://kbeautykenya.com/wp-content/uploads/2023/11/COSRX-Hyaluronic-Acid-Hydra-Power-Essence.jpg
Hyaluronic Acid Intensive Cream,COSRX,cosrx-hyaluronic-acid-intensive-cream.jpg,https://thriveaesthetics.co.ke/wp-content/uploads/2023/09/Cosrx-Hyaluronic-Acid-Intensive-Cream.jpg
Oil-Free Ultra-Moisturizing Lotion,COSRX,cosrx-oil-free-ultra-moisturizing-lotion.jpg,https://kbeautykenya.com/wp-content/uploads/2019/06/oil-free-ultra-moisturizing-lotion-with-birch-sap-cosrx.jpg
The Retinol 0.1 Cream,COSRX,cosrx-the-retinol-0-1-cream.jpg,https://kbeautykenya.com/wp-content/uploads/2023/02/COSRX-Retinol.jpg
The Retinol 0.5 Oil,COSRX,cosrx-the-retinol-0-5-oil.jpg,https://kbeautykenya.com/wp-content/uploads/2023/02/COSRX-Retinol-oil.jpg
The Vitamin C 13 Serum,COSRX,cosrx-the-vitamin-c-13-serum.jpg,https://www.goodlife.co.ke/wp-content/smush-webp/2024/04/1137260.jpg.webp
